"","follower_name","follower_count"
"115129298297449702","Recherche Data Gouv",19
"115090368969085646","Nicolas Fressengeas",26
"66865","Nadine Férey",836
"113560265951283615","Société Mythologie Française",46
"115016534330433294","",0
"114907507944403755","matthonmast",0
"114951990708425689","Radia Kaci",0
"114906774969700957","Daufresne Marie",4
"109302295121403110","GeofCox",1395
"109252834170824726","Christian Schlag",91
"114863233749742408","b",0
"111885525530905444","Anas Ghrab | أنس غراب",39
"114420395854670106","Victor-Manuel Afonso Marques",419
"113091301452175229","elo code-codec",11
"114291443139567419","Nicolas Orgelet",29
"114167168169071478","Print Play Protect",5
"110644116191893458","PhilBlom",16
"114585283828117994","misschloe777",0
"114674377664380269","joanna 📚",20
"113871327104147912","Jasmin Farand",10
"112940002405940683","Nonetram",0
"114134635569580402","jerome dufour",341
"109399084987627753","Site Pouchet du CNRS",94
"114580680578661782","Alban Peignier",41
"114411222245781731","Gauths",7
"114551330758374109","brunna",0
"109931121606763190","Kutand Alkım Bayer",131
"114522579786444795","Christian Jäh",77
"112349452607893936","Jez Guiv",4
"185703","Marc-Antoine Pencolé",92
"135767","Thibaut",186
"112024945142982282","Pierrot le p'tit rigolu :blobcat_dance:",127
"112733688716574236","cornil",82
"112234146747606053","laetys",7
"111223664736438459","Antonin Roussel",63
"109337161235952881","Victor Epain",49
"71481","Alban Peignier",112
"114392193537063622","Recherche reproductible France",108
"109341956277328782","Matthieu Viry",444
"109383755643745039","Olivier Zavagno",5
